,country,points,price,variety
129,South Africa,91,25,Bordeaux-style Red Blend
130,Italy,91,70,Nebbiolo
131,France,91,20,Alsace white blend
132,South Africa,91,30,Cabernet Sauvignon
133,Italy,91,68,Nebbiolo
134,US,91,78,Cabernet Sauvignon
135,Italy,91,60,Nebbiolo
136,France,91,50,Bordeaux-style Red Blend
137,South Africa,90,,Chenin Blanc
138,France,90,10,Alsace white blend
139,France,90,112,Pinot Gris
140,Italy,90,26,Barbera
141,Italy,90,45,Nebbiolo
142,US,90,17,Riesling
143,France,90,84,Pinot Gris
144,US,91,85,Cabernet Sauvignon
145,US,91,64,Pinot Noir
146,US,91,68,Cabernet Sauvignon
147,US,91,68,Cabernet Sauvignon
148,Germany,91,16,Riesling
149,US,91,35,Rhône-style Red Blend
150,US,91,25,Cabernet Sauvignon
151,Portugal,91,30,Portuguese White
152,US,91,55,Pinot Noir
153,US,91,46,Syrah
154,Spain,91,50,Graciano
155,US,91,36,Syrah
156,Germany,91,14,Riesling
157,Portugal,91,26,Portuguese Red
158,Italy,91,38,Sangiovese
159,Italy,91,,Sangiovese
160,France,91,35,Malbec
161,US,91,35,Red Blend
162,US,91,28,Riesling
163,France,91,,Gamay
164,Chile,91,29,Red Blend
165,Chile,91,32,Cabernet Sauvignon
166,France,91,25,Tannat-Cabernet
167,US,91,28,Cabernet Franc
168,US,91,95,Merlot
169,US,91,44,Pinot Noir
170,Germany,91,30,Riesling
171,Germany,91,22,Riesling
172,Chile,91,20,Cabernet Sauvignon
173,US,91,38,Pinot Noir
174,New Zealand,88,19,Sauvignon Blanc
175,Italy,88,25,Sauvignon
176,Chile,88,50,Red Blend
177,Italy,88,22,Sangiovese
178,US,88,25,Syrah
179,France,88,27,Chardonnay
180,US,88,23,Chardonnay
181,US,88,36,Pinot Noir
182,Italy,88,,Sangiovese Grosso
183,Argentina,88,12,Torrontés
184,US,88,35,Chardonnay
185,Chile,88,15,Carmenère
186,US,88,40,Pinot Noir
187,Italy,88,48,Red Blend
188,Chile,88,11,Merlot
189,Chile,87,11,Chardonnay
190,Italy,87,26,Red Blend
191,Australia,87,30,Cabernet Sauvignon
192,Italy,87,20,Red Blend
193,France,87,35,Chardonnay
194,Italy,87,,Sangiovese
195,Italy,87,35,Prugnolo Gentile
196,Italy,87,18,Vernaccia
197,South Africa,90,23,Chenin Blanc
198,US,90,60,Cabernet Sauvignon
199,US,90,28,Cabernet Franc
200,Italy,90,,Sangiovese
201,Italy,90,62,White Blend
202,Israel,90,50,Syrah
203,Portugal,90,28,Portuguese Red
204,US,90,30,G-S-M
205,US,90,25,Chardonnay
206,US,90,25,Cabernet Sauvignon
207,US,90,32,Zinfandel
208,South Africa,90,40,White Blend
209,France,90,16,Rhône-style Red Blend
210,South Africa,90,20,Chardonnay
211,France,90,32,Rhône-style Red Blend
212,Spain,90,40,Verdejo
213,US,90,48,Red Blend
214,US,90,36,Rhône-style Red Blend
215,Israel,90,80,Bordeaux-style Red Blend
216,Italy,90,57,Sangiovese
217,Portugal,90,20,Portuguese Red
218,US,90,20,Fumé Blanc
219,Hungary,90,36,Furmint
220,US,90,40,Chardonnay
221,Italy,90,40,Pinot Bianco
222,Italy,90,,Sangiovese
223,Italy,90,,Pinot Bianco
224,Argentina,90,22,Malbec
225,South Africa,90,25,Chardonnay
226,South Africa,90,20,Chenin Blanc
227,US,85,15,Pinot Noir
228,US,85,14,Riesling
229,US,85,18,Red Blend
230,US,85,16,Gewürztraminer
231,Argentina,85,10,Bonarda
232,Australia,85,12,Shiraz
233,US,85,28,Pinot Noir
234,Italy,85,10,Montepulciano
235,US,85,49,Syrah
236,US,85,85,Cabernet Sauvignon
237,Italy,85,18,Moscato
238,Australia,85,29,Grenache
239,US,85,36,Cabernet Sauvignon
240,France,85,9,Ugni Blanc-Colombard
241,US,85,34,Sangiovese
242,US,85,15,Chardonnay
243,US,85,30,Chardonnay
244,Spain,85,13,Red Blend
245,Argentina,85,12,Chardonnay
246,Australia,85,15,Sauvignon Blanc
247,US,85,25,Merlot
248,US,85,45,Pinot Noir
249,US,85,18,Bordeaux-style Red Blend
250,US,85,49,Cabernet Sauvignon
251,US,85,22,Pinot Noir
252,US,85,35,Zinfandel
253,Argentina,85,15,Malbec
254,US,89,45,Petite Sirah
255,US,89,55,Pinot Noir
256,South Africa,89,20,Syrah-Viognier
257,South Africa,89,18,Red Blend
258,South Africa,89,35,Cabernet Sauvignon
259,France,89,13,Malbec
260,US,89,40,Pinot Noir
261,Argentina,89,37,Red Blend
262,US,89,39,Red Blend
263,US,89,60,Pinot Noir
264,South Africa,89,19,Syrah
265,South Africa,89,40,Chardonnay
266,Argentina,89,14,Red Blend
267,Italy,89,40,White Blend
268,Italy,89,36,White Blend
269,Austria,89,17,Blaufränkisch
270,Italy,89,25,Friulano
271,Greece,89,15,Assyrtico
272,Italy,89,26,Pinot Bianco
273,Argentina,89,19,Red Blend
274,Italy,89,13,White Blend
275,Argentina,89,30,Cabernet Sauvignon
276,US,89,20,Zinfandel
277,US,89,30,Cabernet Sauvignon
278,US,89,50,Pinot Noir
279,Italy,89,52,Sauvignon
280,Austria,92,24,Grüner Veltliner
281,US,92,34,Pinot Noir
282,Italy,92,41,Red Blend
283,US,92,52,Pinot Noir
284,Argentina,92,215,Malbec
285,Austria,92,,Riesling
286,US,92,60,Pinot Noir
287,Spain,92,40,Carignan-Grenache
288,Austria,92,,Grüner Veltliner
289,US,92,125,Cabernet Sauvignon
290,France,92,,Bordeaux-style Red Blend
291,Italy,92,,Sagrantino
292,France,92,45,Savagnin
293,Australia,92,70,Shiraz
294,Argentina,92,30,Malbec
295,US,87,35,Cabernet Sauvignon-Syrah
296,Chile,87,20,Cabernet Sauvignon
297,US,87,15,Cabernet Sauvignon
298,Chile,87,19,Cabernet Sauvignon
299,Italy,87,,Red Blend
300,US,87,28,Sangiovese
301,US,87,14,Chardonnay
302,Italy,87,,Nebbiolo
303,Italy,87,56,Nebbiolo
304,Italy,87,,Barbera
305,US,87,24,Zinfandel
306,Romania,87,7,Chardonnay
307,France,87,30,Pinot Noir
308,Greece,87,18,White Blend
309,Italy,87,20,Nebbiolo
310,Italy,87,18,Nebbiolo
311,New Zealand,87,18,Syrah
312,US,87,40,Cabernet Sauvignon
313,Italy,87,,Nebbiolo
314,US,87,28,Cabernet Sauvignon
315,Italy,86,15,Prosecco
316,France,86,,Bordeaux-style White Blend
317,France,86,,Bordeaux-style White Blend
318,Chile,86,18,Merlot
319,Italy,86,20,Prosecco
320,Italy,86,22,Prosecco
321,Italy,86,16,Prosecco
322,Italy,86,18,Prosecco
323,Chile,86,35,Cabernet Sauvignon
324,Italy,86,12,Prosecco
325,US,86,11,Vignoles
326,Italy,86,15,Prosecco
327,Chile,86,18,Chardonnay
328,US,86,16,White Blend
329,US,86,34,Zinfandel
330,US,86,40,Red Blend
331,Chile,86,15,Gewürztraminer
332,Italy,86,19,Prosecco
333,Italy,86,18,Prosecco
334,France,86,42,Champagne Blend
335,Italy,86,15,Prosecco
336,Chile,83,35,Pinot Noir
337,France,83,16,Rosé
338,France,82,11,Rosé
339,Spain,82,13,Sparkling Blend
340,France,82,18,Pinot Gris
341,US,82,48,Zinfandel
342,Spain,82,11,Sparkling Blend
343,Chile,81,20,Pinot Noir
344,Chile,80,19,Chardonnay
345,Australia,100,350,Muscat
346,Australia,98,350,Muscadelle
347,Germany,97,775,Riesling
348,Australia,97,100,Muscat
349,Australia,97,225,Shiraz-Viognier
350,Italy,97,150,Nebbiolo
351,Hungary,96,320,Furmint
352,US,96,68,Chardonnay
353,France,96,630,Chardonnay
354,Germany,96,365,Riesling
355,US,96,68,Chardonnay
356,Australia,95,85,Shiraz
357,France,95,350,Pinot Noir
358,Germany,95,66,Riesling
359,France,95,110,Chardonnay
360,Australia,95,125,Shiraz-Viognier
361,Italy,95,60,Nebbiolo
362,US,95,200,Cabernet Sauvignon
363,France,95,380,Chardonnay
364,US,95,48,Pinot Noir
365,Australia,95,60,Shiraz
366,Italy,88,21,Pinot Bianco
367,Chile,88,10,Carmenère
368,Italy,88,11,Garganega
369,Italy,88,21,Chardonnay
370,US,88,160,Cabernet Sauvignon
371,Italy,88,23,Sauvignon Blanc
372,Italy,88,10,White Blend
373,Italy,88,15,Sauvignon Blanc
374,US,88,19,Sauvignon Blanc
375,Italy,88,40,Sangiovese
376,Italy,88,18,Pinot Grigio
377,Greece,88,,White Blend
378,Mexico,88,18,Nebbiolo
379,Italy,88,15,White Blend
380,Chile,88,12,Merlot
381,Italy,88,11,White Blend
382,Chile,88,15,Cabernet Sauvignon
383,Italy,88,9,Chardonnay
384,Italy,88,30,Gewürztraminer
385,US,88,18,Sauvignon Blanc
386,US,88,34,Merlot
387,US,88,17,Sauvignon Blanc
388,US,88,25,Pinot Noir
389,Italy,88,15,White Blend
390,Chile,88,12,Cabernet Sauvignon
391,Chile,88,14,Chardonnay
392,US,87,12,Sauvignon Blanc
393,Chile,87,11,Chardonnay
394,Chile,87,12,Merlot
395,Italy,87,,White Blend
396,US,85,16,Zinfandel
397,Chile,85,15,Pinot Noir
398,Chile,85,13,Sauvignon Blanc
399,Italy,85,24,Prosecco
400,Italy,85,13,Prosecco
401,Italy,85,19,Prosecco
402,Chile,85,11,Syrah
403,US,85,15,Red Blend
404,US,85,45,Syrah
405,Italy,85,19,Prosecco
406,France,85,30,Champagne Blend
407,Chile,85,14,Chardonnay
408,Italy,85,15,Prosecco
409,US,85,20,Gewürztraminer
410,US,85,20,Cabernet Franc
411,US,85,12,Cabernet Sauvignon
412,Italy,85,20,Prosecco
413,Italy,85,13,Prosecco
414,Italy,85,16,Prosecco
415,US,85,14,Riesling
416,Italy,85,14,Prosecco
417,Italy,85,,Prosecco
418,Austria,85,,Red Blend
419,France,89,20,Bordeaux-style Red Blend
420,France,89,,Bordeaux-style White Blend
421,US,89,30,Merlot
422,US,89,20,Grenache Blanc
423,Austria,89,23,Grüner Veltliner
424,US,89,30,White Blend
425,US,89,18,Rosé
426,Spain,89,18,Tempranillo
427,US,89,35,Sparkling Blend
428,Austria,89,17,Grüner Veltliner
429,US,89,42,Syrah
430,US,89,30,Sauvignon Blanc
431,US,89,24,Tempranillo
432,US,89,16,Riesling
433,US,89,27,Grenache Blanc
434,Italy,89,89,Nebbiolo
435,Austria,89,,Zierfandler
436,Italy,89,15,Cortese
437,US,89,54,Bordeaux-style Red Blend
438,Spain,89,15,Mencía
439,Spain,89,42,Mencía
440,US,89,38,Cabernet Sauvignon
441,Austria,89,12,Zweigelt
442,US,89,35,Cabernet Franc
443,US,88,32,Zinfandel
444,Austria,88,12,Grüner Veltliner
445,Italy,88,28,Nerello Mascalese
446,US,88,20,Cabernet Sauvignon
447,France,88,14,Melon
448,France,88,19,Rhône-style White Blend
449,Italy,92,39,Chardonnay
450,France,92,,Champagne Blend
451,Italy,92,35,Sangiovese
452,France,92,,Chardonnay
453,France,92,69,Champagne Blend
454,Canada,92,30,Vidal
455,US,92,40,Chardonnay
456,US,92,23,Sparkling Blend
457,US,92,45,Pinot Noir
458,Italy,92,50,Sparkling Blend
459,France,92,100,Champagne Blend
460,US,92,50,Pinot Noir
461,US,92,29,Pinot Blanc
462,France,92,66,Chardonnay
463,France,92,60,Champagne Blend
464,Germany,92,115,Riesling
465,Italy,92,69,Red Blend
466,France,92,,Chardonnay
467,US,92,65,Pinot Noir
468,Germany,92,42,Riesling
469,Germany,92,27,Riesling
470,France,92,70,Champagne Blend
471,France,92,73,Pinot Noir
472,France,92,72,Pinot Noir
473,Portugal,92,34,Portuguese Red
474,France,92,,Champagne Blend
475,US,92,130,Cabernet Sauvignon
476,US,92,88,Red Blend
477,France,92,65,Bordeaux-style Red Blend
478,France,92,,Champagne Blend
479,Italy,87,15,Cannonau
480,US,87,45,Bordeaux-style Red Blend
481,Italy,87,18,Cannonau
482,US,87,60,Pinot Noir
483,South Africa,87,12,Chenin Blanc
484,South Africa,87,12,Chenin Blanc
485,France,87,13,Rhône-style Red Blend
486,US,87,13,Cabernet Sauvignon
487,Italy,87,15,White Blend
488,Italy,87,18,Pinot Grigio
489,Italy,87,13,Sauvignon
490,Spain,87,19,Sparkling Blend
491,Austria,87,18,Grüner Veltliner
492,US,87,30,Sangiovese
493,US,87,35,Red Blend
494,US,87,12,Chardonnay
495,US,87,18,Chardonnay
496,Spain,87,25,Verdejo
497,US,87,30,Cabernet Franc
498,US,87,17,Pinot Noir
499,France,87,20,Rosé
500,Spain,87,11,Rosé
501,US,87,15,Verdelho
502,Austria,87,18,Moscato
503,US,87,19,Sauvignon Blanc
504,France,87,15,Rhône-style Red Blend
505,Spain,87,16,Tempranillo
506,Italy,87,12,White Blend
507,US,87,28,Syrah
508,US,87,28,Tempranillo
509,US,91,65,Red Blend
510,US,91,48,Chardonnay
511,France,91,70,Champagne Blend
512,France,91,59,Champagne Blend
513,US,91,90,Cabernet Sauvignon
514,Chile,91,35,Merlot
515,US,91,75,Pinot Noir
516,US,91,55,Pinot Noir
517,US,91,55,Pinot Noir
518,France,91,60,Pinot Noir
519,US,91,36,Grenache
520,US,91,35,Marsanne
521,US,91,35,Grenache
522,US,91,55,Pinot Noir
523,US,91,65,Pinot Noir
524,US,91,35,Syrah
525,US,91,49,Chardonnay
526,US,91,55,Pinot Noir
527,Germany,91,30,Scheurebe
528,France,91,42,Champagne Blend
529,US,91,45,Pinot Noir
530,Chile,91,24,Syrah
531,US,91,50,Sparkling Blend
532,US,91,50,Pinot Noir
533,US,91,50,Pinot Noir
534,US,91,38,Cabernet Sauvignon
535,Germany,91,22,Riesling
536,US,91,50,Bordeaux-style Red Blend
537,US,91,110,Cabernet Sauvignon
538,US,91,45,Pinot Noir
539,US,93,42,Pinot Noir
540,US,93,60,Pinot Noir
541,US,93,42,Pinot Noir
542,Italy,93,30,Kerner
543,US,93,75,Cabernet Sauvignon
544,US,93,54,Red Blend
545,US,93,85,Cabernet Sauvignon
546,US,93,50,Chardonnay
547,US,93,150,Sangiovese
548,US,93,85,Pinot Noir
549,Italy,93,90,Nebbiolo
550,US,93,35,Chardonnay
551,US,93,46,Zinfandel
552,France,93,20,Rosé
553,Argentina,93,42,Malbec
554,France,93,40,Rosé
555,US,93,75,Cabernet Sauvignon
556,Spain,93,88,Tempranillo
557,US,93,40,Pinot Noir
558,US,93,25,White Blend
559,US,93,48,Syrah-Grenache
560,US,93,45,Syrah
561,US,93,50,Pinot Noir
562,US,93,65,Petite Sirah
563,US,93,48,Pinot Noir
564,US,93,62,Syrah
565,US,93,100,Red Blend
566,US,93,53,Cabernet Sauvignon
567,Argentina,93,55,Malbec
568,US,93,70,Cabernet Sauvignon
569,US,89,38,Chardonnay
570,US,89,50,Syrah
571,US,89,25,Albariño
572,Italy,89,15,Dolcetto
573,France,89,14,Bordeaux-style Red Blend
574,France,89,11,Rosé
575,France,89,14,Bordeaux-style Red Blend
576,France,89,37,Bordeaux-style Red Blend
577,US,89,17,Rosé
578,France,89,15,Bordeaux-style Red Blend
579,US,89,13,Rosé
580,US,89,18,White Blend
581,US,89,26,Gewürztraminer
582,US,89,18,Merlot
583,US,89,32,Pinot Noir
584,Austria,89,18,Grüner Veltliner
585,US,89,25,Chardonnay
586,Austria,89,18,Pinot Blanc
587,Austria,89,20,Sauvignon Blanc
588,US,89,18,Chardonnay
589,Austria,89,,Zweigelt
590,US,89,17,Chardonnay
591,Austria,89,13,Grüner Veltliner
592,US,89,41,Malbec
593,Austria,89,16,Riesling
594,France,89,20,Rhône-style Red Blend
595,US,89,30,Cabernet Sauvignon
596,Greece,89,13,Vilana
597,Austria,89,24,Riesling
598,US,89,36,Sangiovese
599,US,87,20,Cabernet Sauvignon
600,Italy,87,19,Cortese
601,Mexico,87,15,Sauvignon Blanc
602,US,87,69,Cabernet Sauvignon
603,US,87,36,Cabernet Franc
604,Spain,87,35,Red Blend
605,Argentina,87,30,Red Blend
606,US,87,25,Grenache
607,US,87,25,Viognier
608,Portugal,87,15,Portuguese White
609,US,87,20,Grüner Veltliner
610,US,87,17,Sauvignon Blanc
611,US,87,54,Pinot Noir
612,US,87,40,G-S-M
613,Portugal,87,12,Portuguese White
614,Italy,87,19,Garganega
615,Argentina,87,11,Malbec
616,US,87,45,Chardonnay
617,Italy,87,25,Glera
618,US,87,35,Merlot
619,Italy,87,16,Chardonnay
620,Italy,87,20,Glera
621,US,87,28,Pinot Noir
622,US,87,25,Red Blend
623,US,87,28,Red Blend
624,US,87,20,Red Blend
625,Italy,87,15,Garganega
626,Italy,87,23,Garganega
627,Italy,87,19,White Blend
628,Australia,92,35,Shiraz
629,US,92,75,Pinot Noir
630,US,92,48,Pinot Noir
631,France,92,54,Gewürztraminer
632,France,92,34,Riesling
633,Australia,92,60,Viognier
634,US,92,48,Zinfandel
635,Spain,92,28,Viura
636,Australia,92,125,Shiraz
637,France,92,45,Alsace white blend
638,France,92,36,Riesling
639,France,92,30,Pinot Gris
640,US,92,37,Chardonnay
641,US,92,25,Pinot Gris
642,Portugal,92,30,Portuguese Red
643,US,92,60,Chardonnay
644,US,92,40,Cabernet Sauvignon
645,US,92,50,Pinot Noir
646,Portugal,92,23,Portuguese Red
647,Portugal,92,80,Portuguese Red
648,Germany,92,34,Riesling
649,US,92,75,Cabernet Sauvignon
650,Italy,92,24,Sauvignon
651,France,92,39,Riesling
652,Australia,92,21,Riesling
653,US,92,35,Grenache
654,France,92,43,Riesling
655,US,92,30,Zinfandel
656,US,92,70,Pinot Noir
657,South Africa,92,50,Rhône-style Red Blend
658,US,90,40,Chardonnay
659,US,90,45,Cabernet Sauvignon
660,US,90,80,Cabernet Sauvignon
661,US,90,15,Pinot Grigio
662,Italy,90,65,Nebbiolo
663,US,90,65,Cabernet Sauvignon
664,Italy,90,35,Dolcetto
665,Italy,90,25,Barbera
666,US,90,20,Riesling
667,Spain,90,15,Garnacha Tintorera
668,US,90,26,Riesling
669,US,90,30,Malbec
670,US,90,13,Cabernet Sauvignon
671,US,90,45,Petite Sirah
672,US,90,26,Riesling
673,US,90,44,Pinot Noir
674,US,90,38,Cabernet Sauvignon
675,US,90,28,Pinot Noir
676,US,90,32,Chardonnay
677,Italy,90,50,Syrah
678,Italy,90,35,Syrah
679,US,90,35,Cabernet Sauvignon
680,Spain,90,25,Tempranillo Blend
681,US,90,42,Syrah
682,Italy,90,45,Pinot Nero
683,Italy,90,70,Red Blend
684,US,90,30,Cabernet Sauvignon
685,US,90,75,Pinot Noir
686,Italy,90,53,Nebbiolo
687,US,90,29,Chardonnay
688,US,91,90,Cabernet Sauvignon
689,US,91,35,Red Blend
690,Austria,91,35,Red Blend
691,US,91,50,Malbec
692,Italy,91,35,Red Blend
693,US,91,65,Cabernet Franc
694,South Africa,91,50,Sauvignon Blanc
695,Italy,91,43,Red Blend
696,New Zealand,91,28,Sauvignon Blanc
697,Austria,91,,Roter Veltliner
698,US,91,20,Bordeaux-style Red Blend
699,South Africa,91,40,Pinotage
700,Argentina,91,30,Bonarda
701,France,91,65,Rosé
702,France,91,17,Rosé
703,France,91,,Rosé
704,France,91,20,Rosé
705,New Zealand,91,28,Sauvignon Blanc
706,France,91,20,Rosé
707,France,91,20,Rosé
708,France,91,25,Rosé
709,US,91,38,Zinfandel
710,New Zealand,91,120,Pinot Noir
711,US,91,23,Sauvignon Blanc
712,US,91,48,Pinot Noir
713,US,91,32,Pinot Noir
714,New Zealand,91,50,Pinot Noir
715,Argentina,91,28,Red Blend
716,New Zealand,91,30,Pinot Noir
717,France,91,25,Rosé
718,Portugal,85,8,Portuguese White
719,France,85,15,Chardonnay
720,Portugal,85,22,Rosé
721,Argentina,85,14,Cabernet Sauvignon
722,Argentina,85,25,Sémillon
723,Portugal,85,8,Portuguese White
724,US,85,14,Viognier
725,Italy,85,80,Nebbiolo
726,Portugal,85,9,Rosé
727,US,85,13,Pinot Noir
728,Argentina,85,17,Torrontés
729,Portugal,85,10,Portuguese White
730,US,85,16,Cabernet Sauvignon
731,France,85,10,Chardonnay
732,France,85,22,Pinot Noir
733,France,85,40,Pinot Noir
734,Argentina,85,15,Bonarda
735,Argentina,85,17,Torrontés
736,US,85,32,Tempranillo
737,Portugal,85,12,Rosé
738,Argentina,85,17,Malbec
739,Italy,85,102,Nebbiolo
740,US,85,,Sangiovese
741,France,85,10,Pinot Noir-Gamay
742,France,85,20,Chardonnay
743,US,85,33,Zinfandel
744,Italy,85,48,Nebbiolo
745,Portugal,85,12,Antão Vaz
746,Australia,85,9,Pinot Grigio
747,US,87,24,Pinot Noir
748,US,87,75,Cabernet Franc
749,France,87,12,Riesling
750,US,87,45,Pinot Noir
751,Chile,87,13,Sauvignon Blanc
752,France,87,,Gewürztraminer
753,US,87,22,Chardonnay
754,Spain,87,10,Viura
755,US,87,18,Gewürztraminer
756,US,87,35,Zinfandel
757,US,87,36,Pinot Noir
758,US,87,34,Pinot Noir
759,US,87,70,Syrah
760,US,87,28,Syrah
761,Chile,87,19,Cabernet Sauvignon-Carmenère
762,Spain,87,14,Verdejo
763,Spain,87,10,Verdejo-Viura
764,US,87,45,Syrah
765,US,87,32,Red Blend
766,Australia,87,18,Pinot Noir
767,Spain,87,9,Tempranillo
768,Australia,87,11,Cabernet Sauvignon
769,Italy,87,30,Aglianico
770,France,92,62,Chardonnay
771,US,92,40,Sparkling Blend
772,France,92,66,Chardonnay
773,Portugal,92,32,Portuguese Red
774,US,92,70,Pinot Noir
775,US,92,48,Pinot Noir
776,France,92,72,Chardonnay
777,Italy,92,18,Verduzzo
778,US,92,105,Pinot Noir
779,France,92,101,Champagne Blend
780,Italy,92,50,White Blend
781,Italy,92,85,Chardonnay
782,US,92,35,Sparkling Blend
783,US,92,38,Zinfandel
784,Portugal,90,32,Portuguese Red
785,Argentina,90,25,Red Blend
786,Portugal,90,12,Portuguese Red
787,US,90,125,Cabernet Sauvignon
788,Argentina,90,46,Chardonnay
789,Germany,90,29,Riesling
790,US,90,17,Cabernet Sauvignon
791,US,90,85,Pinot Noir
792,France,90,30,Bordeaux-style Red Blend
793,US,90,34,Red Blend
794,US,90,22,Grenache Blanc
795,France,90,35,Bordeaux-style Red Blend
796,France,90,45,Bordeaux-style Red Blend
797,France,90,20,Bordeaux-style Red Blend
798,France,90,17,Bordeaux-style Red Blend
799,France,90,45,Bordeaux-style Red Blend
800,US,90,20,Cabernet Sauvignon
801,US,90,50,Syrah
802,France,90,22,Gamay
803,US,90,39,Merlot
804,US,90,35,Chardonnay
805,US,90,15,Riesling
806,US,90,27,Chardonnay
807,Australia,90,66,Chardonnay
808,Italy,90,32,Verdicchio
809,Spain,90,20,Tempranillo
810,US,90,125,Cabernet Sauvignon
811,Germany,90,16,Silvaner
812,US,90,42,Syrah
813,Australia,90,22,Red Blend
814,Italy,86,,Sangiovese
815,US,86,18,Sauvignon Blanc
816,US,86,22,Gewürztraminer
817,Chile,86,12,Merlot
818,France,86,15,Gamay
819,France,86,9,Colombard
820,Spain,86,12,Tempranillo Blend
821,Spain,86,15,Sparkling Blend
822,Italy,86,20,Sangiovese
823,US,86,28,Malbec
824,US,86,10,Merlot
825,Italy,86,70,Sangiovese
826,Italy,86,28,Sangiovese
827,Chile,86,11,Merlot
828,France,86,30,Chenin Blanc
829,US,86,26,Viognier
830,France,86,15,Chardonnay
831,France,86,23,Gamay
832,France,86,,Gamay
833,Italy,86,30,Nebbiolo
834,Chile,86,10,Cabernet Sauvignon
835,France,86,12,Gamay
836,Spain,86,13,Sparkling Blend
837,Spain,86,15,Sparkling Blend
838,US,86,36,Syrah
839,US,86,20,Riesling
